split,cohort,cohort_order,node_id,label,fraud_score,in_degree,community_id,community_risk,community_size_feature,matched_reference_node_id,matching_distance,edge_explanation_unavailable
validation,high_score_fraud,0,2961442,1,0.9685918688774109,3,52,3.0715558528900146,1.1272461414337158,,,False
validation,high_score_fraud,1,1263449,1,0.956849992275238,1,1626,0.6055939197540283,-0.30600449442863464,,,False
validation,high_score_fraud,2,2707134,1,0.9514642357826233,3,54,8.292803764343262,1.4133745431900024,,,False
validation,high_score_fraud,3,822922,1,0.9242161512374878,1,1179,1.4663676023483276,1.1768726110458374,,,False
validation,high_score_fraud,4,1476049,1,0.9227097630500793,3,54,8.292803764343262,1.4133745431900024,,,False
validation,high_score_fraud,5,1865366,1,0.921636164188385,1,41,0.2156396061182022,-0.42874762415885925,,,False
validation,high_score_fraud,6,910419,1,0.9202847480773926,1,1591,1.1723614931106567,-0.3278156518936157,,,False
validation,high_score_fraud,7,1445319,1,0.916336178779602,1,852,2.9615445137023926,-0.21565648913383484,,,False
validation,high_score_fraud,8,2522099,1,0.9147185683250427,2,1598,0.765028178691864,-0.40932348370552063,,,False
validation,high_score_fraud,9,1437987,1,0.9110993146896362,1,1694,0.9941465854644775,-0.20216131210327148,,,False
validation,high_score_normal,0,1942636,0,0.9999874830245972,3,1215,0.390248566865921,-0.41958585381507874,,,False
validation,high_score_normal,1,333139,0,0.9990295171737671,3,1076,-1.4056228399276733,-0.4115998446941376,,,False
validation,high_score_normal,2,920517,0,0.9954258799552917,1,475,1.6503223180770874,-0.6419421434402466,,,False
validation,high_score_normal,3,945475,0,0.9949697852134705,2,802,-0.8774855136871338,0.9857283234596252,,,False
validation,high_score_normal,4,1333573,0,0.9899544715881348,1,1655,-0.23542380332946777,-0.8753376007080078,,,False
validation,high_score_normal,5,1193243,0,0.9883453845977783,1,1545,0.8551965951919556,-0.8922911882400513,,,False
validation,high_score_normal,6,759199,0,0.983332633972168,1,276,-0.7868079543113708,-0.3609459102153778,,,False
validation,high_score_normal,7,2948849,0,0.9782028794288635,1,52,3.0715558528900146,1.1272461414337158,,,False
validation,high_score_normal,8,2795031,0,0.9769022464752197,1,52,3.0715558528900146,1.1272461414337158,,,False
validation,high_score_normal,9,131031,0,0.9768028259277344,1,831,1.200743317604065,-0.23868519067764282,,,False
validation,low_score_fraud,0,2636796,1,0.009813944809138775,1,41,0.2156396061182022,-0.42874762415885925,,,False
validation,low_score_fraud,1,675905,1,0.02088242769241333,5,1332,-1.7022106647491455,-0.8529344201087952,,,False
validation,low_score_fraud,2,2122757,1,0.028659731149673462,3,1191,-1.5623897314071655,-0.10104243457317352,,,False
validation,low_score_fraud,3,740442,1,0.03263094648718834,2,1540,1.0433671474456787,0.5984737277030945,,,False
validation,low_score_fraud,4,2287558,1,0.03637486696243286,8,4,-1.2211709022521973,-0.13690951466560364,,,False
validation,low_score_fraud,5,1564995,1,0.05152830854058266,1,93,0.10885778069496155,-0.5673238635063171,,,False
validation,low_score_fraud,6,52719,1,0.0571322962641716,3,147,0.4507308304309845,0.5365790128707886,,,False
validation,low_score_fraud,7,2805025,1,0.07388245314359665,7,766,-0.16665349900722504,1.3949882984161377,,,False
validation,low_score_fraud,8,2165937,1,0.07507944107055664,4,114,-1.1204705238342285,-0.283333957195282,,,False
validation,low_score_fraud,9,1069626,1,0.08541636914014816,1,255,0.5034794211387634,2.025463342666626,,,False
validation,low_score_normal_control,0,2085609,0,0.15020711719989777,3,1215,0.390248566865921,-0.41958585381507874,1942636.0,0.0,False
validation,low_score_normal_control,1,1089423,0,0.12150046974420547,3,1648,-0.15112824738025665,-0.4115998446941376,333139.0,0.0,False
validation,low_score_normal_control,2,490544,0,0.1983826458454132,1,475,1.6503223180770874,-0.6419421434402466,920517.0,0.0,False
validation,low_score_normal_control,3,497319,0,0.21518346667289734,2,802,-0.8774855136871338,0.9857283234596252,945475.0,0.0,False
validation,low_score_normal_control,4,1630536,0,0.021322697401046753,1,1655,-0.23542380332946777,-0.8753376007080078,1333573.0,0.0,False
validation,low_score_normal_control,5,1263965,0,0.06737498193979263,1,208,-0.9377533197402954,-0.8922911882400513,1193243.0,0.0,False
validation,low_score_normal_control,6,2723736,0,0.20049798488616943,1,1048,-0.2989056408405304,-0.3609459102153778,759199.0,0.0,False
validation,low_score_normal_control,7,2661325,0,0.1520034372806549,1,52,3.0715558528900146,1.1272461414337158,2948849.0,0.0,False
